cities,longitude,latitude
Meerut,77°43′E,28°59′N
Moradabad,78°47′E,28°50′N
Muzaffarnagar,77°42′00″E,29°28′55″N
Pilibhit,79°48′21″E,28°37′36″N
Prayagraj,81°50′47″E,25°26′09″N
Rae Bareli,81°14′25″E,26°13′25″N
Saharanpur,77°32′46″E,29°57′50″N
Sambhal,78°33′E,28°35′N
Shahjahanpur,79°55′E,27°53′N
Sitapur,80°40′E,27°34′N
Tehri,78°29′E,30°23′N
Varanasi,83°00′46″E,25°19′08″N
Almora,79°39′33″E,29°35′50″N
Dehra Dun,78°01′44″E,30°20′42″N
Haridwar,78°09′47″E,29°56′42″N
Mussoorie,78°05′E,30°27′N
Nainital,79°27′15″E,29°23′31″N
Pithoragarh,80°13′E,29°35′N
Alipore,88°19′38″E,22°32′21″N
Alipur Duar,89°31′37″E,26°29′20″N
Asansol,86°59′E,23°41′N
Baharampur,88°15′E,24°06′N
Balurghat,88°46′E,25°13′N
Bankura,87°04′E,23°15′N
Baranagar,88°22′E,22°38′N
Barasat,88°29′E,22°43′N
Barrackpore,88°22′E,22°46′N
Basirhat,88°53′39″E,22°39′26″N
Bhatpara,88°25′E,22°52′N
Budge Budge,88°10′54″E,22°28′58″N
Burdwan,87°52′E,23°14′N
Chandernagore,88°23′E,22°52′N
Darjeeling,88°15′47″E,27°02′15″N
Diamond Harbour,88°11′26″E,22°11′28″N
Dum Dum,88°25′E,22°37′N
Durgapur,87°19′E,23°33′N
Halisahar,88°25′06″E,22°56′49″N
Haora,88°19′46″E,22°34′48″N
Ingraj Bazar,88°08′36″E,25°00′43″N
Jalpaiguri,88°44′E,26°31′N
Kalimpong,88°28′E,27°04′N
Kamarhati,88°22′13″E,22°40′07″N
Kanchrapara,88°26′00″E,22°56′44″N
Kharagpur,87°19′25″E,22°19′49″N
Cooch Behar,89°27′3.6″E,26°19′27.084″N
Kolkata,88°22′12″E,22°34′03″N
Midnapore,87°19′08″E,22°25′26″N
Murshidabad,88°16′E,24°11′N
Nabadwip,88°22′E,23°25′N
Palashi,88°15′E,23°48′N
Panihati,88°22′E,22°41′N
Purulia,86°22′E,23°20′N
Raiganj,88°07′E,25°37′N
Santipur,88°26′E,23°15′N
Shantiniketan,87°41′E,23°41′N
Shrirampur,74°39′37″E,19°37′10″N
Siliguri,88°26′E,26°43′N
Tamluk,87°55′E,22°18′N
Titagarh,88°22′E,22°44′N
Ara,84°39′37″E,25°33′05″N
Gaya,85°01′E,24°45′N
Madhubani,86°05′E,26°22′N
Ambikapur,83°12′E,23°07′N
Daman,72°51′E,20°25′N
Diu,70°59′E,20°43′N
Okha,69°4′0″E,22°28′0″N
Hisar,75°42′E,29°09′N
Dalhousie,75°59′E,32°32′N
Kangra,76°16′24″E,32°06′11″N
Mandi,76°55′54″E,31°42′25″N
Punch,74°05′33″E,33°46′13″N
Hassan,76°04′05″E,13°00′43″N
